"proj_code","proj_name","wf_name","tn_id","tn_name","task_id"
"proto","_prototype","_prototype",483,"check-in",2650
"proto","_prototype","_prototype",484,"scan",2651
"proto","_prototype","_prototype",485,"covers",2652
"proto","_prototype","_prototype",486,"qa-capture",2653
"proto","_prototype","_prototype",487,"crop",2654
"proto","_prototype","_prototype",488,"index",2655
"proto","_prototype","_prototype",489,"adjust",2656
"proto","_prototype","_prototype",490,"mutate",2657
"proto","_prototype","_prototype",491,"hold",2658
"proto","_prototype","_prototype",492,"qa",2659
"proto","_prototype","_prototype",493,"export",2660
"proto","_prototype","_prototype",494,"repack",2661
"proto","_prototype","_prototype",495,"checkout",2662
"17NASH","Print on demand","Book POD",483,"check-in",2663
"17NASH","Print on demand","Book POD",484,"scan",2664
"17NASH","Print on demand","Book POD",487,"crop",2665
"17NASH","Print on demand","Book POD",489,"adjust",2666
"17NASH","Print on demand","Book POD",490,"mutate",2667
"17NASH","Print on demand","Book POD",491,"hold",2668
"17NASH","Print on demand","Book POD",492,"qa",2669
"17NASH","Print on demand","Book POD",493,"export",2670
"17NASH","Print on demand","Book POD",494,"repack",2671
"17NASH","Print on demand","Book POD",495,"checkout",2672
"17DC","Transcript","Transcript",483,"check-in",2673
"17DC","Transcript","Transcript",484,"scan",2674
"17DC","Transcript","Transcript",488,"index",2675
"17DC","Transcript","Transcript",487,"crop",2676
"17DC","Transcript","Transcript",490,"mutate",2677
"17DC","Transcript","Transcript",491,"hold",2678
"17DC","Transcript","Transcript",492,"qa",2679
"17DC","Transcript","Transcript",493,"export",2680
"17DC","Transcript","Transcript",494,"repack",2681
"17DC","Transcript","Transcript",495,"checkout",2682
"17NYCS","Newsletter","Newsletter",483,"check-in",2683
"17NYCS","Newsletter","Newsletter",484,"scan",2684
"17NYCS","Newsletter","Newsletter",487,"crop",2685
"17NYCS","Newsletter","Newsletter",491,"hold",2686
"17NYCS","Newsletter","Newsletter",492,"qa",2687
"17NYCS","Newsletter","Newsletter",493,"export",2688
"17NYCS","Newsletter","Newsletter",494,"repack",2689
"17NYCS","Newsletter","Newsletter",495,"checkout",2690
"13WEX","Catalog (ex)","Catalog",483,"check-in",2691
"13WEX","Catalog (ex)","Catalog",484,"scan",2692
"13WEX","Catalog (ex)","Catalog",485,"covers",2693
"13WEX","Catalog (ex)","Catalog",486,"qa-capture",2694
"13WEX","Catalog (ex)","Catalog",487,"crop",2695
"13WEX","Catalog (ex)","Catalog",488,"index",2696
"13WEX","Catalog (ex)","Catalog",491,"hold",2697
"13WEX","Catalog (ex)","Catalog",492,"qa",2698
"13WEX","Catalog (ex)","Catalog",490,"mutate",2699
"13WEX","Catalog (ex)","Catalog",493,"export",2700
"13WEX","Catalog (ex)","Catalog",494,"repack",2701
"13WEX","Catalog (ex)","Catalog",495,"checkout",2702
"14WBK","Monograph","Book",483,"check-in",2703
"14WBK","Monograph","Book",484,"scan",2704
"14WBK","Monograph","Book",485,"covers",2705
"14WBK","Monograph","Book",486,"qa-capture",2706
"14WBK","Monograph","Book",487,"crop",2707
"14WBK","Monograph","Book",488,"index",2708
"14WBK","Monograph","Book",491,"hold",2709
"14WBK","Monograph","Book",492,"qa",2710
"14WBK","Monograph","Book",490,"mutate",2711
"14WBK","Monograph","Book",493,"export",2712
"14WBK","Monograph","Book",494,"repack",2713
"14WBK","Monograph","Book",495,"checkout",2714
"14WPER","Periodical","Periodical",483,"check-in",2715
"14WPER","Periodical","Periodical",484,"scan",2716
"14WPER","Periodical","Periodical",485,"covers",2717
"14WPER","Periodical","Periodical",486,"qa-capture",2718
"14WPER","Periodical","Periodical",487,"crop",2719
"14WPER","Periodical","Periodical",488,"index",2720
"14WPER","Periodical","Periodical",491,"hold",2721
"14WPER","Periodical","Periodical",492,"qa",2722
"14WPER","Periodical","Periodical",490,"mutate",2723
"14WPER","Periodical","Periodical",493,"export",2724
"14WPER","Periodical","Periodical",494,"repack",2725
"14WPER","Periodical","Periodical",495,"checkout",2726